genre_id,genre
0,Anthropology
1,Witches
2,Young Readers
3,Literature
4,China
5,Horses
6,M M Romance
7,Erotic Horror
8,Soviet Union
9,Ukrainian Literature
10,Sex Work
11,Personal Development
12,Paranormal Urban Fantasy
13,Esp
14,Led Zeppelin
15,Atlases
16,Sequential Art
17,Nigeria
18,Taoism
19,Classics
20,Game Design
21,Sci Fi Fantasy
22,Christian Fiction
23,Film
24,Poetry
25,Togo
26,Romanovs
27,Classical Studies
28,Womens Studies
29,Liberia
30,World History
31,India
32,Web
33,Lesbian
34,Gay Erotica
35,Naval History
36,Christian Romance
37,Soviet History
38,France
39,Audiobook
40,Murder Mystery
41,Lds Fiction
42,Herbs
43,Western Romance
44,Earth Sciences
45,Lesbian Fiction
46,Cooking
47,Mira
48,Retellings
49,Comics Manga
50,Airships
51,Supernatural Romance
52,English Literature
53,African American Literature
54,Punx
55,M M Science Fiction
56,Novella
57,12th Century
58,Holland
59,Police
60,M M M
61,Reference
62,Nordic Noir
63,Guidebook
64,Tarot
65,Fostering
66,Shonen
67,Homeschool
68,Occult
69,Animal Fiction
70,Buffy The Vampire Slayer
71,Buses
72,Gay For You
73,Latin American History
74,Warcraft
75,Weird West
76,Personal Finance
77,Africa
78,British Literature
79,Chess
80,Gothic Romance
81,Classical Music
82,Adult
83,40k
84,Whodunit
85,Muslimah
86,Crafts
87,Conservation
88,Doctor Who
89,Goth
90,Psychological Thriller
91,Erotic Paranormal Romance
92,Pakistan
93,Futuristic
94,Zombies
95,Demons
96,17th Century
97,Contemporary Romance
98,Design
99,Alternate Universe
100,Webcomic
101,History
102,World Of Darkness
103,Gastronomy
104,Brewing
105,Arthurian
106,Greece
107,20th Century
108,Anthologies
109,Gaming
110,Growth Mindset
111,Southern
112,Coming Of Age
113,Law
114,Paramedics
115,Moroccan
116,Black Literature
117,Art and Photography
118,International Literature
119,New Age
120,Medieval History
121,Fae
122,Young Adult
123,Japan
124,Journalism
125,Marriage
126,World War I
127,Americana
128,Ghosts
129,Favorites
130,Money
131,Environment
132,Republic Of The Congo
133,Fantasy Of Manners
134,Virtual Reality
135,Politics
136,Colouring Books
137,Gender
138,Plays
139,Language
140,American Revolution
141,Knitting
142,Health Care
143,Paranormal
144,Surreal
145,Anime
146,Palaeontology
147,Angola
148,Biblical
149,Manga
150,Urban Planning
151,Theosophy
152,Spiritualism
153,Visual Art
154,Punk
155,Asian Literature
156,LGBT
157,Wildlife
158,Westerns
159,Library Science
160,Librarianship
161,Civil War
162,11th Century
163,Graffiti
164,South Africa
165,Medieval
166,New Adult
167,Womens Fiction
168,Science Fiction Fantasy
169,Romanticism
170,M F M
171,Gay Fiction
172,Georgian Romance
173,Queer Lit
174,Category Romance
175,Holiday
176,Climate Change
177,Fire Services
178,Stand Up
179,Christmas
180,Erotic Romance
181,Fat Acceptance
182,Disability Studies
183,Grad School
184,BDSM
185,Software
186,Astrology
187,Memoir
188,Storytime
189,Intelligent Design
190,Romance
191,Inspirational
192,Professors
193,Woodwork
194,Creation Science
195,Pornography
196,Geoffrey Chaucer
197,Epic
198,Nerd
199,Central Africa
200,African Literature
201,Denmark
202,Magic
203,Cats
204,Did Not Finish
205,College
206,Evangelism
207,Read For School
208,Climbing
209,Espionage
210,Genderqueer
211,Love Story
212,Academic
213,Usability
214,Cults
215,Baha I
216,Sierra Leone
217,Harlequin Nocturne
218,Horror
219,Adult Fiction
220,Wilderness
221,Video Games
222,Catholic
223,Museology
224,Alternate History
225,Childrens Classics
226,Cocktails
227,Elves
228,Germany
229,Witchcraft
230,Chick Lit
231,Fairies
232,Spirituality
233,Libya
234,Hugo Awards
235,Star Trek The Next Generation
236,Adventure
237,Vampires
238,Speculative Fiction
239,Military Fiction
240,Detective
241,Love Inspired Suspense
242,Peak Oil
243,16th Century
244,Psychology
245,Aliens
246,German Literature
247,Culinary
248,Scandinavian Literature
249,French Literature
250,Dogs
251,Polygamy
252,Sudan
253,Logic
254,M M Young Adult
255,Cinderella
256,Biblical Fiction
257,Romantic Suspense
258,Stuart
259,X Men
260,Algeria
261,Young Adult Romance
262,Bande Dessinée
263,Harlequin Desire
264,Harlequin
265,Disability
266,Action
267,Superman
268,Dc Comics
269,Cookbooks
270,Wizards
271,Juvenile
272,School
273,Japanese History
274,Star Trek Original Series
275,Alexandria
276,Entrepreneurship
277,Food and Drink
278,Indonesian Literature
279,Ornithology
280,Fighters
281,War
282,Cartoon
283,M M F
284,Graphic Novels Comics Manga
285,Naturopathy
286,Ethiopia
287,Gardening
288,Slash Fiction
289,Monsters
290,21st Century
291,Chemistry
292,Rabbits
293,Social Science
294,Basketball
295,Harlequin Heartwarming
296,Eastern Philosophy
297,Utopia
298,Islamism
299,Literary Fiction
300,Botswana
301,Babylon 5
302,Mental Illness
303,Nursery Rhymes
304,Booze
305,Humor
306,African American Romance
307,Satanism
308,Senegal
309,Archaeology
310,Harlequin Historical
311,Spain
312,Anthropomorphic
313,Classic Literature
314,Cycling
315,Recreation
316,Number
317,American Classics
318,International Relations
319,Google
320,Microhistory
321,Terrorism
322,Walking
323,Comedian
324,Multicultural Literature
325,Christian Historical Fiction
326,Anti Intellectualism
327,Roman Britain
328,Supernatural
329,Amazon
330,Belgium
331,Plants
332,World War II
333,Hungarian Literature
334,Atheism
335,Bolivia
336,Anarchism
337,Human Resources
338,Japanese Literature
339,Tragedy
340,Plus Size
341,Political Science
342,Portugal
343,Criticism
344,Art Design
345,Frugal
346,Social Justice
347,Egyptology
348,M M Sports Romance
349,Deception
350,American Revolutionary War
351,Quilting
352,Algebra
353,English Civil War
354,Pilots
355,Musicians
356,Lds
357,Musicals
358,Comics
359,Fables
360,Website Design
361,Comics Bd
362,Latin American Literature
363,Ancient History
364,Research
365,Mmorpg
366,Soccer
367,Judaism
368,Music
369,Social Movements
370,Historical Romance
371,M M Fantasy
372,14th Century
373,Historical Mystery
374,Travel
375,Old Testament
376,Figure Skating
377,Lebanon
378,Apocalyptic
379,Medical
380,Shounen Ai
381,Survival
382,Civil War Eastern Theater
383,Yuri
384,Bangladesh
385,Photography
386,Harlequin Teen
387,Geometry
388,Norman
389,Princesses
390,Fat Studies
391,Nutrition
392,Go
393,Computers
394,Magick
395,Maps
396,Abuse
397,Post Colonial
398,1st Grade
399,Alcohol
400,High Fantasy
401,Turkish Literature
402,Alchemy
403,Neuroscience
404,Nobel Prize
405,Science Fiction
406,Planetary Romance
407,Genetics
408,Adolescence
409,Omegaverse
410,Teachers
411,Erotica
412,Jewish
413,Superheroes
414,International Development
415,Viking Romance
416,Maritime
417,Comic Fantasy
418,Post Apocalyptic
419,Splatterpunk
420,Internet
421,Motorcycle
422,Quantum Mechanics
423,Education
424,Victorian
425,Modern Classics
426,Portuguese Literature
427,Namibia
428,Shojo
429,Activism
430,M M Paranormal
431,Futurism
432,Mail Order Brides
433,Ghost Stories
434,Werewolves
435,Comedy
436,Dragons
437,Shapeshifters
438,Cryptids
439,Humanities
440,International
441,Wine
442,Asexual
443,Science Fiction Romance
444,Prostitution
445,Popular Science
446,Martial Arts
447,Brazil
448,Mozambique
449,Trains
450,Food Writing
451,Lenin
452,Golden Age Mystery
453,Church
454,Realistic Fiction
455,Lovecraftian
456,Communication
457,Apple
